Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
1,Apartment,Apartment,"225,000",8370,West-vlaanderen,59,Installed,No,No,0,No,0,No,0,0,2,No,Unknown
1,Apartment,Apartment,"85,000",8420,West-vlaanderen,42,Semi equipped,No,No,0,No,0,No,0,0,0,No,To be done up
1,Apartment,Apartment,"90,000",6000,Henegouwen,44,Semi equipped,No,No,0,No,0,No,0,0,0,No,Good
1,Apartment,Apartment,"96,000",8400,West-vlaanderen,35,Installed,No,No,0,No,0,No,0,0,0,No,Good
1,Apartment,Apartment,"109,000",8450,West-vlaanderen,35,Installed,No,No,0,No,0,No,0,0,0,No,Good
0,Apartment,Studio,"119,000",9340,Oost-vlaanderen,40,0,No,No,0,No,0,No,0,0,0,No,Unknown
1,Apartment,Kot,"120,000",8200,West-vlaanderen,21,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
1,Apartment,Ground floor,"125,000",5000,Namen,57,Installed,No,No,0,No,0,No,0,0,0,No,Good
1,Apartment,Ground floor,"149,000",8400,West-vlaanderen,55,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
1,Apartment,Apartment,"149,900",9820,Oost-vlaanderen,40,Installed,No,No,0,No,0,No,0,0,0,No,Good
1,Apartment,Apartment,"159,000",8434,West-vlaanderen,50,0,Yes,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"167,000",8420,West-vlaanderen,55,Installed,No,No,0,Yes,250,No,0,0,0,No,Good
2,Apartment,Apartment,"175,000",8430,West-vlaanderen,75,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"177,000",7090,Henegouwen,85,Hyper equipped,No,No,0,No,0,Yes,11,0,2,No,As new
1,Apartment,Apartment,"178,000",1650,Vlaams-brabant,45,Not installed,No,No,0,No,0,No,0,0,0,No,Unknown
1,Apartment,Apartment,"178,000",1652,Vlaams-brabant,45,Not installed,No,No,0,No,0,No,0,0,0,No,Unknown
1,Apartment,Apartment,"180,000",8530,West-vlaanderen,60,Hyper equipped,No,No,0,No,0,No,0,0,0,No,Unknown
2,Apartment,Apartment,"185,000",1480,Waals-brabant,82,Hyper equipped,No,No,0,No,0,Yes,34,0,2,No,As new
2,Apartment,Apartment,"187,000",7090,Henegouwen,94,Hyper equipped,No,No,0,No,0,Yes,11,0,4,No,As new
2,Apartment,Apartment,"187,000",8400,West-vlaanderen,96,0,No,No,0,No,0,Yes,5,0,0,No,Good
0,Apartment,Studio,"187,000",8450,West-vlaanderen,48,Installed,No,No,0,No,0,No,0,0,0,No,Good
2,Apartment,Apartment,"189,000",8400,West-vlaanderen,78,Semi equipped,No,No,0,No,0,Yes,4,0,2,No,Good
2,Apartment,Apartment,"189,000",8430,West-vlaanderen,65,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"190,000",1480,Waals-brabant,85,Hyper equipped,No,No,0,No,0,Yes,18,0,3,No,As new
2,Apartment,Apartment,"194,000",7000,Henegouwen,74,USA installed,No,No,0,No,0,Yes,5,0,0,No,As new
2,Apartment,Apartment,"199,750",6980,Luxemburg,92,0,No,No,0,No,0,Yes,6,0,0,No,Unknown
2,Apartment,Apartment,"200,000",1480,Waals-brabant,86,Hyper equipped,No,No,0,No,0,Yes,32,0,2,No,As new
3,Apartment,Apartment,"200,000",0,Unknown,160,Installed,No,No,0,No,0,No,0,0,0,No,Good
2,Apartment,Apartment,"207,000",8480,West-vlaanderen,72,Installed,No,No,0,No,0,Yes,4,0,0,No,As new
0,Apartment,Studio,"215,000",1060,Brussels,51,0,No,No,0,No,0,No,0,0,2,No,Unknown
3,Apartment,Penthouse,"218,000",9550,Oost-vlaanderen,100,0,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"219,000",8800,West-vlaanderen,118,0,No,No,0,No,0,Yes,6,0,2,No,Unknown
3,Apartment,Apartment,"220,000",1480,Waals-brabant,100,Hyper equipped,No,No,0,No,0,Yes,8,0,2,No,As new
1,Apartment,Apartment,"225,000",9800,Oost-vlaanderen,0,Installed,No,No,0,No,0,No,0,0,2,No,Unknown
3,Apartment,Apartment,"235,000",8860,West-vlaanderen,120,0,No,No,0,No,0,No,0,0,2,No,Unknown
3,Apartment,Apartment,"238,000",7090,Henegouwen,135,Hyper equipped,0,No,0,No,0,Yes,12,0,2,No,As new
2,Apartment,Apartment,"239,000",0,Unknown,90,Installed,No,No,0,No,0,Yes,8,0,2,No,Good
2,Apartment,Apartment,"245,000",1180,Brussels,76,Installed,No,No,0,No,0,No,0,0,0,No,Good
2,Apartment,Apartment,"245,000",8530,West-vlaanderen,85,Hyper equipped,No,No,0,No,0,Yes,7,0,0,No,Unknown
2,Apartment,Apartment,"249,000",0,Unknown,112,USA installed,No,No,0,Yes,450,No,0,0,2,No,Just renovated
0,Apartment,Studio,"250,000",1000,Brussels,42,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
4,Apartment,Apartment,"259,000",4500,Luik,185,Semi equipped,No,No,0,No,0,No,0,0,2,No,To be done up
1,Apartment,Apartment,"269,000",3000,Vlaams-brabant,40,0,No,No,0,No,0,Yes,40,0,0,No,Unknown
2,Apartment,Apartment,"275,000",2390,Antwerpen,97,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
1,Apartment,Apartment,"275,000",8370,West-vlaanderen,74,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"280,000",0,Unknown,86,Installed,No,No,0,No,0,Yes,16,0,2,No,As new
3,Apartment,Duplex,"280,000",8020,West-vlaanderen,116,Hyper equipped,No,No,0,No,0,Yes,10,0,0,No,As new
2,Apartment,Apartment,"290,000",1140,Brussels,65,USA hyper equipped,Yes,No,0,No,0,Yes,4,0,2,No,As new
